Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%
D,72,Mepham,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,73,Neto,4.3,4.3,Arsenal,78,3.63,10,0.48,0,0.00,3,0.14,4,0.16,5,0.18,4,0.20,4,0.17,4,0.15,4,0.17,4,0.19,4,0.18,0.00
M,74,O.Dango,5.0,5.0,Bournemouth,31,1.92,34,1.87,36,1.55,38,1.75,37,1.53,35,1.71,38,1.96,38,1.95,38,1.84,38,1.97,37,2.05,40,1.78,0.00
G,75,Paulsen,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,76,Philip,4.8,4.8,Bournemouth,18,1.06,23,1.19,26,1.09,28,1.22,27,1.06,24,1.11,23,1.12,22,1.09,24,1.15,23,1.13,22,1.18,24,1.04,0.00
M,77,Scott,4.9,4.9,Bournemouth,45,2.03,42,1.73,47,1.63,49,1.73,49,1.61,44,1.69,41,1.63,40,1.60,44,1.66,45,1.77,42,1.79,41,1.47,0.00
M,78,Semenyo,5.7,5.7,Bournemouth,78,4.77,76,3.88,74,2.80,74,3.06,73,2.68,72,3.21,68,3.26,68,3.38,68,3.18,67,3.34,67,3.53,66,2.69,0.03
D,79,Senesi,4.8,4.8,Bournemouth,68,2.81,67,2.34,64,1.57,64,1.58,61,1.22,60,1.73,61,1.97,61,2.13,60,1.53,60,2.09,58,2.06,60,1.29,0.00
M,80,Sinisterra,5.0,5.0,Bournemouth,18,1.21,22,1.31,23,1.11,23,1.20,25,1.14,26,1.38,27,1.47,26,1.42,26,1.41,25,1.43,27,1.62,29,1.37,0.00
D,81,Smith,4.5,4.5,Bournemouth,36,1.46,37,1.32,37,1.00,37,0.98,36,0.83,37,1.13,37,1.21,37,1.31,35,0.97,40,1.41,38,1.37,39,0.94,0.00
F,82,Solanke,7.5,7.5,Spurs,88,4.66,83,4.54,79,5.47,77,4.27,74,4.60,73,5.38,75,2.99,74,4.82,73,4.36,73,4.64,72,4.83,73,3.97,0.28
M,83,Tavernier,5.5,5.5,Bournemouth,79,4.66,76,3.79,74,2.85,74,3.03,73,2.64,72,3.25,72,3.42,72,3.49,71,3.23,71,3.41,70,3.59,70,2.85,0.00
G,84,Travers,4.4,4.4,Bournemouth,1,0.06,2,0.07,3,0.09,3,0.10,4,0.14,5,0.16,4,0.14,4,0.13,4,0.13,3,0.12,3,0.13,4,0.13,0.00
D,85,Zabarnyi,4.5,4.5,Bournemouth,87,3.07,83,2.50,82,1.80,81,1.69,81,1.37,78,1.94,77,2.17,79,2.41,77,1.66,76,2.28,76,2.33,77,1.39,0.00
D,86,Ajer,4.5,4.5,Brentford,64,2.35,65,2.66,60,1.46,56,2.45,56,1.78,55,2.08,54,1.86,55,2.38,53,1.41,53,1.65,54,1.16,54,2.15,0.00
M,87,Brierley,4.5,4.5,Brentford,1,0.09,1,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,88,Collins,4.5,4.5,Brentford,85,2.90,81,3.15,79,1.73,78,3.22,75,2.24,74,2.66,73,2.42,72,2.92,71,1.69,70,2.01,71,1.33,71,2.71,0.00
M,89,Damsgaard,5.0,5.0,Brentford,72,3.15,68,3.00,61,2.26,49,2.43,46,1.85,47,2.20,45,1.95,47,2.22,45,1.75,45,2.00,46,1.76,45,2.06,0.00
M,90,Dasilva,4.9,4.9,Brentford,0,0.00,0,0.00,14,0.58,22,1.14,23,1.04,23,1.14,22,1.04,23,1.18,24,1.04,22,1.04,23,0.97,23,1.10,0.00
G,91,Flekken,4.5,4.5,Brentford,94,3.52,93,3.76,92,3.19,92,3.72,91,3.36,91,3.47,91,3.44,91,3.64,91,3.15,91,3.22,91,3.04,91,3.60,0.28
D,92,Henry,4.4,4.4,Brentford,0,0.00,0,0.00,32,0.81,67,2.97,76,2.42,76,2.92,74,2.58,74,3.20,76,1.92,75,2.29,74,1.51,73,2.89,0.00
D,93,Hickey,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,94,Janelt,4.9,4.9,Brentford,83,2.81,79,2.70,75,2.19,70,2.61,70,2.19,70,2.50,70,2.33,67,2.41,66,2.02,68,2.26,68,1.98,69,2.39,0.00
M,95,Jensen,5.4,5.4,Brentford,0,0.00,0,0.00,28,1.03,58,2.61,68,2.44,68,2.77,67,2.56,66,2.82,66,2.27,64,2.51,64,2.15,63,2.60,0.00
D,96,Ji-soo,4.0,4.0,Brentford,0,0.00,1,0.04,2,0.04,1,0.04,2,0.04,2,0.05,2,0.05,2,0.05,2,0.04,3,0.07,2,0.04,3,0.07,0.00
M,97,Konak,4.5,4.5,Brentford,21,0.87,18,0.74,11,0.46,5,0.25,4,0.18,4,0.21,4,0.21,4,0.21,5,0.23,4,0.20,4,0.20,4,0.21,0.00
M,98,Lewis-Potter,5.0,5.0,Brentford,66,3.40,64,3.28,54,2.32,43,2.67,38,1.94,40,2.38,37,1.98,33,1.91,31,1.48,33,1.81,34,1.57,34,1.86,0.00
M,99,Mbeumo,7.3,7.3,Brentford,90,6.31,88,5.94,85,4.40,82,6.07,81,4.47,80,5.57,78,4.68,75,5.41,77,4.05,75,4.77,77,3.83,78,5.07,0.19
D,100,Mee,4.4,4.4,Brentford,16,0.59,20,0.84,19,0.51,16,0.69,18,0.60,18,0.72,19,0.70,20,0.87,21,0.63,20,0.68,20,0.51,22,0.95,0.00
M,101,Nørgaard,4.9,4.9,Brentford,59,2.00,84,2.81,82,2.27,78,2.83,77,2.35,77,2.73,75,2.40,73,2.61,72,2.12,72,2.38,72,2.00,70,2.43,0.00
M,102,Onyeka,4.9,4.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,103,Peart-Harris,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,104,Pinnock,4.5,4.5,Brentford,90,3.10,87,3.43,84,1.84,82,3.47,82,2.45,81,2.92,81,2.63,82,3.38,80,1.91,79,2.22,78,1.47,77,2.91,0.02
D,105,Roerslev,4.4,4.4,Brentford,60,2.28,57,2.39,52,1.34,49,2.22,47,1.59,46,1.86,47,1.74,45,2.02,48,1.37,48,1.60,48,1.12,48,2.01,0.00
M,106,Schade,5.4,5.4,Brentford,67,3.64,65,3.44,60,2.69,57,3.51,52,2.55,53,3.06,49,2.48,43,2.54,39,1.84,40,2.15,41,1.82,40,2.21,0.00
F,107,Thiago,5.9,5.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,108,Toney,7.3,7.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,109,Valdimarsson,4.0,4.0,Brentford,1,0.05,2,0.09,3,0.10,3,0.13,4,0.14,4,0.14,4,0.15,3,0.14,4,0.13,3,0.12,4,0.14,3,0.14,0.41
F,110,Wissa,6.0,6.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,27,1.42,53,3.16,64,2.94,66,3.52,65,2.88,65,3.60,0.01
M,111,Yarmoliuk,4.5,4.5,Brentford,43,1.75,39,1.59,25,0.99,16,0.75,12,0.51,13,0.59,14,0.63,13,0.62,13,0.54,15,0.66,13,0.55,13,0.59,0.00
D,112,Zanka,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,113,Adingra,5.5,5.5,Brighton,36,1.76,32,1.72,31,1.56,29,1.79,27,1.22,30,1.33,28,1.49,28,1.86,28,1.43,28,1.52,28,1.60,29,1.50,0.00
M,114,Baker-Boaitey,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,115,Baleba,5.0,5.0,Brighton,71,2.01,67,2.05,65,1.91,63,2.25,61,1.67,62,1.69,58,1.81,55,2.03,59,1.80,58,1.87,57,1.93,57,1.76,0.00
D,116,Barco,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.31
M,117,Buonanotte,5.0,5.0,Leicester,31,1.16,30,1.39,32,1.48,34,1.54,33,1.44,33,1.32,33,1.42,33,1.38,37,1.66,0,0.00,33,1.32,33,1.57,0.00
M,118,Cozier-Duberry,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,119,Dahoud,4.9,4.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,120,Dunk,4.6,4.5,Brighton,92,2.26,90,2.61,88,2.31,87,4.19,86,1.59,85,2.02,84,2.89,84,4.05,85,2.99,84,3.31,83,3.44,84,2.72,0.45
M,121,Enciso,5.4,5.4,Brighton,21,1.15,16,0.98,11,0.64,11,0.77,10,0.52,11,0.54,11,0.66,14,1.02,13,0.70,13,0.76,12,0.74,13,0.75,0.00
D,122,Estupiñan,5.0,5.0,Brighton,58,1.88,65,2.37,61,2.07,59,3.30,60,1.48,56,1.72,58,2.36,59,3.30,58,2.43,54,2.48,56,2.72,57,2.24,0.00
F,123,Ferguson,5.5,5.5,Brighton,23,1.42,22,1.42,16,0.96,15,1.09,17,0.92,18,0.99,17,1.08,19,1.47,18,1.10,18,1.16,19,1.26,19,1.23,0.00
M,124,Gilmour,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,125,Gross,6.5,6.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,126,Hinshelwood,5.0,5.0,Brighton,47,1.64,41,1.63,37,1.40,36,1.65,33,1.12,35,1.20,34,1.32,37,1.65,37,1.38,37,1.44,38,1.55,36,1.37,0.00
M,127,I.Osman,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,128,Igor,4.4,4.4,Brighton,8,0.20,8,0.23,9,0.24,10,0.40,10,0.24,11,0.30,12,0.39,13,0.52,13,0.43,14,0.52,16,0.61,15,0.48,0.00
F,129,João Pedro,5.6,5.5,Brighton,0,0.00,30,1.81,71,3.81,68,4.86,68,3.12,69,3.16,67,3.82,65,4.91,66,3.53,64,3.80,65,4.16,64,3.67,0.84
M,130,Kozlowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,131,Lamptey,4.5,4.5,Brighton,9,0.37,8,0.37,9,0.36,8,0.45,7,0.27,8,0.33,8,0.38,9,0.48,8,0.38,9,0.41,9,0.44,9,0.38,0.00
M,132,March,6.5,6.5,Brighton,0,0.00,0,0.00,10,0.54,20,1.34,25,1.22,24,1.17,25,1.41,25,1.72,24,1.34,26,1.49,26,1.57,26,1.44,0.00
M,133,Mazilu,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,134,Milner,5.0,5.0,Brighton,0,0.00,0,0.00,7,0.28,13,0.61,18,0.73,18,0.71,20,0.85,19,0.90,20,0.81,21,0.90,21,0.92,22,0.91,0.00
M,135,Minteh,5.5,5.5,Brighton,59,2.81,56,3.00,50,2.50,49,3.15,49,2.08,45,1.98,45,2.40,47,3.23,45,2.37,45,2.50,46,2.71,47,2.46,0.12
M,136,Mitoma,6.7,6.7,Brighton,87,3.65,82,3.89,79,3.38,76,4.33,75,2.77,75,2.79,74,3.38,73,4.39,74,3.25,74,3.46,72,3.68,72,3.33,0.02
M,137,Moder,4.4,4.4,Brighton,1,0.09,2,0.13,1,0.09,1,0.12,1,0.09,1,0.08,1,0.11,2,0.15,2,0.13,2,0.15,2,0.14,2,0.14,0.00
F,138,O’Mahony,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,139,Offiah,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,140,Peupion,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,141,Sarmiento,4.9,4.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,142,Steele,4.5,4.5,Brighton,3,0.10,4,0.15,5,0.16,7,0.28,7,0.27,8,0.29,8,0.32,10,0.43,8,0.30,10,0.39,8,0.32,9,0.34,0.00
F,143,Undav,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,144,Van Hecke,4.5,4.5,Brighton,91,1.99,89,2.30,86,2.00,84,3.62,85,1.39,84,1.82,82,2.52,81,3.54,80,2.57,80,2.81,79,3.00,80,2.39,0.00
D,145,Veltman,4.5,4.5,Brighton,64,1.62,59,1.75,54,1.47,51,2.37,50,1.01,52,1.31,51,1.74,51,2.40,51,1.82,52,2.02,50,2.08,52,1.69,0.00
G,146,Verbruggen,4.5,4.5,Brighton,92,3.19,91,3.14,90,3.14,88,3.67,87,2.92,87,2.92,86,3.23,85,3.53,87,3.28,85,3.39,87,3.45,86,3.18,0.04
D,147,Webster,4.4,4.4,Brighton,8,0.18,11,0.32,14,0.38,14,0.59,15,0.33,15,0.38,18,0.59,17,0.73,16,0.56,17,0.66,19,0.74,16,0.53,0.00
F,148,Welbeck,5.8,5.8,Brighton,68,3.56,60,3.40,48,2.43,48,3.19,49,2.13,45,1.97,45,2.43,47,3.21,44,2.26,47,2.56,46,2.65,44,2.35,0.02
M,149,Wieffer,4.9,4.9,Brighton,72,2.16,76,2.40,76,2.25,73,2.73,71,1.94,70,1.97,70,2.23,72,2.73,71,2.20,69,2.23,71,2.42,69,2.17,0.00
M,150,Andrey Santos,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,151,Ângelo,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,152,Arrizabalaga,4.5,4.5,Bournemouth,94,3.67,93,3.55,92,3.14,92,3.18,90,2.92,90,3.25,91,3.30,91,3.44,91,3.07,91,3.46,91,3.38,91,3.06,0.00
D,153,B.Badiashile,4.4,4.4,Chelsea,6,0.19,9,0.33,9,0.20,10,0.33,11,0.29,10,0.30,13,0.48,13,0.48,15,0.57,14,0.34,14,0.53,12,0.43,0.00
G,154,Bergström,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,155,Bettinelli,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,156,Broja,5.4,5.4,Everton,0,0.00,0,0.00,3,0.21,7,0.49,9,0.62,11,0.65,11,0.69,11,0.60,11,0.75,11,0.58,12,0.56,0,0.00,0.00
M,157,Caicedo,4.9,4.9,Chelsea,82,2.34,80,2.39,78,1.89,79,2.27,76,2.00,77,2.01,74,2.16,74,2.16,74,2.18,74,1.89,71,2.20,72,2.06,0.00
M,158,Casadei,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.10,1,0.09,0,0.00,0,0.00,0.00
D,159,Chalobah,4.4,4.4,Crystal Palace,54,1.69,68,1.39,78,2.39,74,1.90,71,2.46,71,2.63,68,1.65,63,1.80,63,2.15,60,1.21,62,1.51,63,1.53,0.00
D,160,Chilwell,4.8,4.8,Chelsea,4,0.19,5,0.24,6,0.21,5,0.24,5,0.20,4,0.17,6,0.27,6,0.30,6,0.30,5,0.19,7,0.38,6,0.30,0.00
M,161,Chukwuemeka,4.9,4.9,Chelsea,2,0.17,3,0.22,3,0.21,4,0.29,7,0.40,5,0.31,6,0.39,6,0.39,7,0.42,6,0.36,8,0.46,8,0.45,0.00
D,162,Colwill,4.5,4.5,Chelsea,89,3.15,85,3.62,83,1.58,82,2.73,83,2.15,83,2.36,81,3.03,80,2.88,79,3.05,80,1.78,80,3.24,77,2.87,0.01
D,163,Cucurella,5.0,5.0,Chelsea,87,3.25,86,3.76,80,1.51,74,2.58,76,2.02,72,2.10,72,2.83,70,2.63,71,2.89,72,1.64,68,2.94,72,2.76,0.00
F,164,D.D.Fofana,5.4,5.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,165,Deivid,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,166,Dewsbury-Hall,5.7,5.7,Chelsea,4,0.22,7,0.37,7,0.31,8,0.43,9,0.42,7,0.34,10,0.52,9,0.45,11,0.57,9,0.45,10,0.54,11,0.54,0.00
D,167,Disasi,4.4,4.4,Chelsea,16,0.58,15,0.60,12,0.27,12,0.40,10,0.29,13,0.37,12,0.45,14,0.52,14,0.53,15,0.38,15,0.57,16,0.61,0.00
M,168,Enzo,5.0,5.0,Chelsea,86,3.20,82,3.18,83,2.43,82,3.13,83,2.67,81,2.55,80,3.08,81,3.12,79,3.15,80,2.53,79,3.21,79,2.96,0.00
M,169,Gallagher,5.9,5.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,170,Gilchrist,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,171,Gusto,4.9,4.9,Chelsea,62,2.51,72,3.45,65,1.46,47,1.85,39,1.27,42,1.45,39,1.70,39,1.63,40,1.80,41,1.16,41,1.89,40,1.74,0.00
D,172,James,5.0,5.0,Chelsea,0,0.00,0,0.00,20,0.62,48,2.39,57,2.20,56,2.26,58,3.02,57,2.96,57,3.06,56,1.92,56,3.23,56,2.95,0.00
M,173,Kellyman,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,174,Lavia,4.5,4.5,Chelsea,31,1.14,31,1.15,32,1.06,31,1.14,34,1.13,30,1.00,33,1.17,32,1.15,32,1.18,32,1.06,33,1.22,34,1.20,0.00
F,175,Lukaku,6.3,6.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,176,M.Sarr,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,177,Madueke,6.6,6.6,Chelsea,63,3.53,61,3.57,59,2.57,59,3.48,63,3.01,60,2.68,56,3.22,56,3.21,58,3.52,58,2.72,58,3.58,56,3.15,0.01
F,178,Marc Guiu,4.9,4.9,Chelsea,3,0.25,4,0.38,5,0.37,6,0.47,8,0.54,7,0.45,8,0.59,6,0.50,8,0.63,8,0.54,8,0.61,9,0.62,0.00
M,179,Mudryk,6.3,6.3,Chelsea,7,0.50,8,0.58,10,0.55,11,0.75,22,1.23,12,0.64,12,0.78,13,0.86,13,0.89,13,0.74,13,0.87,12,0.76,0.00
F,180,N.Jackson,7.8,7.8,Chelsea,69,4.14,66,4.04,66,3.03,64,4.08,65,3.34,64,3.03,62,3.67,61,3.78,58,3.84,58,3.02,59,3.98,57,3.50,0.00
M,181,Nkunku,6.1,6.1,Chelsea,31,2.29,33,2.50,31,1.72,32,2.45,37,2.23,31,1.84,34,2.43,35,2.55,33,2.62,34,2.08,35,2.75,34,2.41,0.05
M,182,Palmer,10.6,10.6,Chelsea,86,6.53,83,6.45,82,4.26,81,6.57,82,4.99,79,4.52,77,5.67,76,5.94,76,5.99,76,4.44,74,6.23,75,5.45,0.09
G,183,Petrović,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,184,Renato Veiga,4.5,4.5,Chelsea,5,0.19,7,0.30,9,0.33,8,0.33,9,0.32,10,0.37,11,0.43,13,0.49,12,0.48,13,0.45,12,0.47,14,0.51,0.00
G,185,Sánchez,4.7,4.7,Chelsea,93,3.45,90,3.69,89,2.93,88,3.17,88,3.04,89,3.15,87,3.40,85,3.18,86,3.30,86,2.84,86,3.44,87,3.36,0.00
M,186,Sterling,6.8,6.8,Arsenal,33,2.49,35,2.74,37,2.33,36,2.07,37,2.21,0,0.00,40,2.75,41,2.53,40,2.60,39,2.33,40,3.01,40,2.40,0.00
D,187,Tosin,4.4,4.4,Chelsea,42,1.52,35,1.51,35,0.72,35,1.18,36,0.97,35,1.05,38,1.46,37,1.37,38,1.51,38,0.89,39,1.58,39,1.48,0.00
M,188,Ugochukwu,4.5,4.5,Southampton,41,1.31,48,1.33,46,1.54,44,1.22,45,1.49,43,1.39,44,1.32,44,1.30,0,0.00,45,1.33,44,1.33,43,1.31,0.00
D,189,W.Fofana,4.5,4.5,Chelsea,76,2.73,74,3.17,70,1.35,68,2.24,63,1.68,64,1.84,61,2.34,63,2.30,61,2.38,61,1.41,60,2.42,61,2.32,0.00
M,190,Ahamada,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,191,Andersen,4.4,4.4,Fulham,89,2.72,88,1.17,85,2.68,84,2.77,83,3.05,83,2.38,80,3.39,79,1.45,79,2.53,80,1.99,79,1.18,79,3.27,0.01
M,192,J.Ayew,5.3,5.3,Leicester,66,2.13,65,2.98,66,3.00,63,2.90,63,2.78,62,2.32,63,2.63,61,2.50,63,2.90,62,2.64,61,2.33,62,3.04,0.00
M,193,C.Doucouré,4.9,4.9,Crystal Palace,0,0.00,0,0.00,9,0.35,24,0.89,35,1.28,37,1.36,37,1.24,34,1.23,35,1.29,36,1.16,34,1.17,35,1.17,0.00
D,194,C.Richards,4.5,4.5,Crystal Palace,0,0.00,0,0.00,12,0.37,28,0.73,42,1.43,42,1.53,41,1.04,34,1.00,33,1.17,33,0.72,33,0.87,34,0.87,0.00
D,195,Chadi Riad,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,0.33,28,0.88,35,1.27,33,0.80,33,0.92,34,0.95,0.00
D,196,Clyne,4.4,4.4,Crystal Palace,34,1.18,28,0.73,22,0.77,20,0.62,21,0.76,21,0.81,18,0.56,20,0.67,19,0.70,21,0.55,19,0.58,21,0.64,0.00
M,197,Ebiowei,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,198,Edouard,5.4,5.4,Leicester,22,1.03,23,1.43,22,1.32,19,1.16,21,1.24,23,1.17,24,1.31,24,1.26,22,1.32,25,1.35,23,1.16,23,1.44,0.00
M,199,Eze,6.9,6.9,Crystal Palace,88,4.83,85,3.94,82,4.27,81,4.42,81,4.59,81,4.81,79,3.88,78,4.66,78,4.44,78,3.30,78,3.75,79,3.48,0.87
D,200,Guéhi,4.4,4.4,Crystal Palace,92,2.91,88,1.80,88,2.69,87,2.19,87,2.95,86,3.27,86,2.07,85,2.42,83,2.88,84,1.69,86,2.09,84,2.06,0.01
G,201,Henderson,4.5,4.5,Crystal Palace,94,3.42,93,2.99,92,3.30,91,3.04,91,3.41,91,3.49,91,3.11,90,3.08,90,3.43,91,2.91,90,3.09,91,2.98,0.60
D,202,Holding,4.4,4.4,Crystal Palace,8,0.23,9,0.18,5,0.14,3,0.08,2,0.07,3,0.08,2,0.06,2,0.04,1,0.04,1,0.03,2,0.04,1,0.03,0.00
M,203,Hughes,4.9,4.9,Crystal Palace,41,1.43,43,1.37,42,1.44,37,1.27,33,1.22,34,1.25,34,1.17,34,1.26,33,1.21,31,1.02,35,1.19,33,1.09,0.00
G,204,Johnstone,4.4,4.4,Wolves,93,2.90,90,3.20,90,2.83,89,2.95,88,3.16,89,3.32,88,3.05,86,3.08,86,3.05,87,3.00,86,3.29,86,3.13,0.00
M,205,Kamada,5.3,5.3,Crystal Palace,55,2.58,56,2.27,55,2.47,55,2.56,53,2.58,53,2.67,53,2.26,52,2.62,54,2.67,53,2.02,51,2.23,52,2.07,0.00
M,206,Lerma,4.9,4.9,Crystal Palace,41,1.48,44,1.38,39,1.35,34,1.22,30,1.16,29,1.14,31,1.10,29,1.16,32,1.20,31,1.02,30,1.07,30,1.03,0.00
F,207,Mateta,7.4,7.4,Crystal Palace,76,3.86,75,3.25,73,3.53,71,3.62,70,3.75,69,3.79,69,3.22,70,3.83,68,3.65,70,2.81,69,3.16,70,2.94,0.00
M,208,M.França,4.4,4.4,Crystal Palace,0,0.00,0,0.00,4,0.22,10,0.52,12,0.66,13,0.73,13,0.64,13,0.71,14,0.80,15,0.68,13,0.68,13,0.62,0.00
G,209,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,2,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.06
